researcher,role,studies,institution,lab,institution_lab,full_address,Latitude,Longitude,notes
Cara Cashon,,MB1,University of Louisville,,,"University of Louisville, Eastern Parkway, Louisville, KY 40204, USA",38.2122761,-85.7585023,
Kate C. Dixon,,MB1,University of Louisville,,,"University of Louisville, Eastern Parkway, Louisville, KY 40204, USA",38.2122761,-85.7585023,
Nonah M. Olesen,,MB1,University of Louisville,,,"University of Louisville, Eastern Parkway, Louisville, KY 40204, USA",38.2122761,-85.7585023,
Krisztina V. Jakobsen,,MB1,James Madison University,,,"800 S Main St, Harrisonburg, VA 22807, United States",38.4400229,-78.8716115,
Derek M. Houston,,MB1,The Ohio State University,,,"The Ohio State University, North Star Rd, Upper Arlington, OH 43212, USA",40.0068363,-83.0306222,
Doroteja Rubez,,MB1,The Ohio State University,,,"The Ohio State University, North Star Rd, Upper Arlington, OH 43212, USA",40.0068363,-83.0306222,
Yuanyuan Wang,,MB1,The Ohio State University,,,"The Ohio State University, North Star Rd, Upper Arlington, OH 43212, USA",40.0068363,-83.0306222,
Teresa Flanagan,,MB1,Franklin & Marshall College,,,"Franklin & Marshall College, Old Main Dr, Lancaster, PA 17604, USA",40.0487391,-76.3199227,
Lauren H. Howard,,MB1,Franklin & Marshall College,,,"Franklin & Marshall College, Old Main Dr, Lancaster, PA 17604, USA",40.0487391,-76.3199227,
Steven G. Luke,,MB1,Brigham Young University,,,"Brigham Young University, Field House Dr, Provo, UT 84606, USA",40.2492507,-111.6544376,
Rebecca A. Lundwall,,MB1,Brigham Young University,,,"Brigham Young University, Field House Dr, Provo, UT 84606, USA",40.2492507,-111.6544376,
Casey Lew-Williams,,MB1,Princeton University,,,"Princeton University, Alexander St, Princeton, NJ 08540, USA",40.3430942,-74.6550739,
Christine Potter,,MB1,Princeton University,,,"Princeton University, Alexander St, Princeton, NJ 08540, USA",40.3430942,-74.6550739,
Arielle Borovsky,,MB1,Purdue University,,,"610 Purdue Mall, West Lafayette, IN 47907, United States",40.428246,-86.9143911,
Amanda Seidl,,MB1,Purdue University,,,"610 Purdue Mall, West Lafayette, IN 47907, United States",40.428246,-86.9143911,
Didar Karadag,,MB1,Bogazici University,,,"Bebek, 34342 Beşiktaş/İstanbul, Turkey",41.0777437,29.0416286,
Gaye Soley,,MB1,Bogazici University,,,"Bebek, 34342 Beşiktaş/İstanbul, Turkey",41.0777437,29.0416286,
Alexis K. Black,,MB1,Haskins Laboratories,,,"300 George St #900, New Haven, CT 06511, United States",41.3048024,-72.9311075,
Jill Lany,,MB1,University of Notre Dame,,,"Notre Dame, IN 46556, United States",41.7001908,-86.2379328,
Abbie Thompson,,MB1,University of Notre Dame,,,"Notre Dame, IN 46556, United States",41.7001908,-86.2379328,
Benjamin Morris,,MB1,University of Chicago,,,"The University of Chicago, 5801 South Ellis Ave, Chicago, IL 60637, USA",41.7886079,-87.5987133,
Daniel Yurovsky,,MB1,University of Chicago,,,"The University of Chicago, 5801 South Ellis Ave, Chicago, IL 60637, USA",41.7886079,-87.5987133,
